AA;K_CORSO_LA;DESCRIZIONE_CDL;SEDE_CDL;PSPA;PSPA_NOME;PSPA_LINGUA_OFFERTA;SEDE_PSPA;ANNO_DI_CORSO;SEMESTRE_PIANO;C_INSEGN;TIPO_INSEGN;DESC_TIPO_INSEGN;DESC_INSEGN;CFU;LINGUA_EROGAZIONE_INSEGN;ORDINE_DI_VISUALIZZAZIONE;DESCRIPTION
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;089174;M;MONODISCIPLINARE;ECONOMIA DEI SERVIZI E DELLE RETI I;5,00;IT;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;089175;M;MONODISCIPLINARE;VIDEOGAME DESIGN AND PROGRAMMING;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;089184;M;MONODISCIPLINARE;SOFTWARE ENGINEERING 2;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;089194;M;MONODISCIPLINARE;COMPLESSITÀ NEI SISTEMI E NELLE RETI;5,00;IT;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;090916;M;MONODISCIPLINARE;AUTOMATION OF ENERGY SYSTEMS;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;090940;I;CORSO INTEGRATO;INFORMATICA E DIRITTO;5,00;IT;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;090945;M;MONODISCIPLINARE;COMPUTER SYSTEMS PERFORMANCE EVALUATION;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;091023;M;MONODISCIPLINARE;BUSINESS INFORMATION SYSTEMS 1;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;091079;I;CORSO INTEGRATO;BUSINESS INFORMATION SYSTEMS;10,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;094743;M;MONODISCIPLINARE;DATA MANAGEMENT FOR THE WEB;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;095903;M;MONODISCIPLINARE;ADVANCED OPERATING SYSTEMS;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;095940;M;MONODISCIPLINARE;DIGITAL SYSTEMS DESIGN METHODOLOGIES 2;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;095947;M;MONODISCIPLINARE;CRYPTOGRAPHY AND ARCHITECTURES FOR COMPUTER SECURITY;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;095948;M;MONODISCIPLINARE;PROCESS AND SERVICE DESIGN;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;097688;M;MONODISCIPLINARE;ECONOMICS AND COMPUTATION;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;099324;M;MONODISCIPLINARE;SENSOR SYSTEMS;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;099322;M;MONODISCIPLINARE;SEGNALI PER LE COMUNICAZIONI;10,00;IT;7;
